CATEGORIA,SUB CATEGORIA,MAQUINA,MEDIDAS (mm),TIPO MEDIDA,PESO (kg),FOB SHANGHAI (USD),SEÑA,COSTO CON IVA,VENT SIN IVA,VENT CON IVA,,URL Ficha PDF,
GUILLOTINA,HIDRAULICA GUILLOTINA,4x3200,3800x1600x1950,Maquina,4300,7510,7885.5,15020,15631.674208144797,17273,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA SWING BEAM,4x4000,4600x1600x1950,Maquina,6000,9260,9723,18520,19274.20814479638,21298,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,4x4000,4600x1600x1950,Maquina,6000,9780,10269,19560,20356.56108597285,22494,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA SWING BEAM,6x2500,3100x1700x1950,Maquina,4000,7340,7707,14680,15277.828054298643,16882,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,6x2500,3100x1700x1950,Maquina,4000,7860,8253,15720,16360.180995475113,18078,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA SWING BEAM,6x3200,3800x1700x1950,Maquina,5000,8910,9355.5,17820,18545.701357466063,20493,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,6x3200,3800x1700x1950,Maquina,5000,9260,9723,18520,19274.20814479638,21298,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA SWING BEAM,6x4000,4600x1700x1950,Maquina,7200,11000,11550,22000,22895.92760180995,25299.999999999996,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,6x4000,4600x1700x1950,Maquina,7200,11355,11922.75,22710,23634.84162895927,26116.499999999996,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA SWING BEAM,8x2500,3100x1800x2050,Maquina,5000,8910,9355.5,17820,18545.701357466063,20493,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,8x2500,3100x1800x2050,Maquina,5000,9260,9723,18520,19274.20814479638,21298,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA SWING BEAM,8x3200,3800x1800x2050,Maquina,6000,9280,9744,18560,19315.837104072398,21344,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,8x3200,3800x1800x2050,Maquina,6000,9600,10080,19200,19981.900452488688,22080,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA SWING BEAM,8x4000,4600x1800x2050,Maquina,8000,11880,12474,23760,24727.601809954747,27323.999999999996,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,8x4000,4600x1800x2050,Maquina,8000,12400,13020,24800,25809.95475113122,28519.999999999996,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,8x6000,6700x1900x2250,Maquina,17000,27600,28980,55200,57447.963800904974,63479.99999999999,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,10x2500,3100x1850x2100,Maquina,6000,10660,11193,21320,22188.235294117643,24517.999999999996,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,10x3200,3800x1850x2100,Maquina,7000,11700,12285,23400,24352.941176470584,26909.999999999996,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,10x4000,4600x1850x2100,Maquina,9000,14500,15225,29000,30180.995475113123,33350,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,10x6000,6700x2000x2600,Maquina,20000,31980,33579,63960,66564.70588235294,73554,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,12x2500,3100x2000x2200,Maquina,7800,12700,13335,25400,26434.38914027149,29209.999999999996,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,12x3200,3800x2000x2200,Maquina,9000,15000,15750,30000,31221.719457013576,34500,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,12x4000,4600x2000x2250,Maquina,11000,16800,17640,33600,34968.325791855204,38640,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,12x6000,6700x2100x3000,Maquina,26000,38980,40929,77960,81134.84162895927,89654,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,16x2500,3100x2100x2300,Maquina,9000,14300,15015,28600,29764.70588235294,32890,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,16x3200,3800x2100x2400,Maquina,11000,17000,17850,34000,35384.61538461538,39100,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
